No.,Date,,,Time,Location,,,Magnitude,,Ref.
,Y,M,D,,Lat.,Long.,Dept,mb,Ms,
368,1935,7,2,152453,25.5,55.2,,,,ISS
369,1935,7,13,130334,41.2,43.6,,,,ISS
370,1935,8,18,90010,39.6,43.1,,,4.8,MEA
371,1935,9,5,223838,41.2,47.8,33,,4.2,KAR
372,1935,9,8,11612,37.3,54.4,10,,4.3,MEA
373,1935,9,22,14023,29,61,,,,ISS
374,1935,10,15,170245,28.9,51.31,33,4.5,,MOF
375,1935,11,2,181814,36.5,42.5,33,,4.8,KAR
376,1935,11,22,92122,40.8,46.8,33,,4.6,KAR
377,1936,3,7,191216,40.2,45.7,33,,4.5,KAR
378,1936,3,23,194622,39,42,33,,4.5,KAR
379,1936,3,24,163603,40.8,48.9,33,,4.7,KAR
380,1936,3,24,194622,39,42,33,,6,KAR
381,1936,4,17,221508,37.5,57.7,12,,4.8,MEA
382,1936,4,21,214,26.29,55.28,,6.2,5.5,AMB
383,1936,5,1,102444,39.6,43.1,33,,5.6,KAR
384,1936,5,2,205730,39.8,43.5,33,,5,KAR
385,1936,6,10,329,26.5,64,,,5.7,AMB
386,1936,6,10,171108,25.98,64.61,33,,5.3,QJA
387,1936,6,11,94342,26.43,64.79,33,,5.2,QJA
388,1936,6,30,1926,33.68,60.05,33,6.2,6,AMB
389,1936,8,4,180339,41.8,45.9,33,,4.4,KAR
390,1936,8,20,20846,30.42,51.54,33,,5,MOF
391,1936,9,2,100103,41.5,46.6,33,,4.6,KAR
392,1936,9,2,1157,41.5,46.6,33,,4.8,KAR
393,1936,9,2,131220,41.6,46.6,33,,5.3,KAR
394,1936,10,8,163251,41.6,46.6,33,,4,KAR
395,1937,1,7,132331,40.2,44.4,33,,5,KAR
396,1937,1,7,204742,40.1,44.3,4,,4.5,KAR
397,1937,1,20,2048,41.2,44.3,33,,4.9,KAR
398,1937,3,7,191045,38.4,43.7,33,,4.6,KAR
399,1937,5,11,160217,29.5,57.5,,,,ISS
400,1937,5,12,91033,29.5,57.5,,,,ISS
401,1937,5,21,215624,29,54,,,,ISS
402,1937,9,14,21639,41.3,44.1,33,,4.6,KAR
403,1937,10,2,141546,41.1,48.3,33,,4.5,KAR
404,1937,11,19,23613,31.96,49.45,33,,4.5,MOF
405,1937,12,18,2022,41,48.5,33,,4.7,KAR
406,1938,1,6,212715,41.2,44,33,,4.3,KAR
407,1938,1,26,340,33.44,45.78,,5.7,5.4,AMB
408,1938,2,4,1901,26,65,,,,ISS
409,1938,2,14,25400,40.39,53.68,,,6.2,AMB
410,1938,4,23,60403,27.3,53.2,,,,ISS
411,1938,4,23,92600,27.22,53.28,,,5.5,AMB
412,1938,7,7,125002,40.8,53.5,,,,ISS
413,1938,7,13,195540,41,45.2,33,,4.4,KAR
414,1938,7,19,194527,34.92,59.35,33,,4.7,MOF
415,1938,8,11,95041,41.9,45,,,,ISS
416,1938,9,6,132819,41,50,33,,5.2,KAR
417,1938,11,14,115441,40.2,43.6,33,,4.8,KAR
418,1938,11,14,120639,40.4,43.5,33,,4.6,KAR
419,1938,12,12,122350,40.6,46.6,30,,4.9,KAR
420,1938,12,19,1856,36.64,58.5,,,5.6,AMB
421,1938,12,21,122357,41.1,47.7,,,,ISS
422,1939,1,23,234,40.6,44.1,33,,4.7,KAR
